product_url,product_name,product_price,rating,number_of_reviews
https://www.amazon.in/ber-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4,"5,611"
https://www.amazon.in/E-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,3.7,"2,462"
https://www.amazon.in/f-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,960"
https://www.amazon.in/f-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442"
https://www.amazon.in/ice-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1,"5,854"
https://www.amazon.in/Backpack-Business-Water-resistant-Anti-theft-Charging/dp/B0B6FLWDW9,"Arctic Hunter Backpack,Laptop Bag for Men Business Laptop Backpack for 15.6 Inch Laptop Water-resistant&Anti-theft Bag with USB Charging Port for School Travel Business, Black","3,499",4.8,8
https://www.amazon.in/UPPERCASE-Professional-Backpack-resistant-sustainable/dp/B0BXFDK5J2,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",4.3,78
https://www.amazon.in/-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,4.3,"6,506"
https://www.amazon.in/ksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,600"
https://www.amazon.in/kpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",249,4.1,"9,706"
https://www.amazon.in/R-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,174,3.7,"7,051"
https://www.amazon.in/r-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,"6,040"
https://www.amazon.in/ari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,227",4.5,"7,383"
https://www.amazon.in/rican-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,666
https://www.amazon.in/NE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3,"7,913"
https://www.amazon.in/Red-Lemon-Plus-Travelling-1908/dp/B082Y7TZ8Z,"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack","3,999",4.4,509
https://www.amazon.in/FUR-JADEN-Anti-Theft-Backpack-Professionals/dp/B0C28QQMFJ,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,"3,499",4.6,99
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4,"5,611"
https://www.amazon.in/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",528,3,6
https://www.amazon.in/bags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,672,4.1,"5,525"
https://www.amazon.in/rican-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4,"55,249"
https://www.amazon.in/f-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442"
https://www.amazon.in/ber-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4,"5,611"
https://www.amazon.in/E-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,3.7,"2,462"
https://www.amazon.in/f-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,960"
https://www.amazon.in/f-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442"
https://www.amazon.in/ice-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1,"5,854"
https://www.amazon.in/Backpack-Business-Water-resistant-Anti-theft-Charging/dp/B0B6FLWDW9,"Arctic Hunter Backpack,Laptop Bag for Men Business Laptop Backpack for 15.6 Inch Laptop Water-resistant&Anti-theft Bag with USB Charging Port for School Travel Business, Black","3,499",4.8,8
https://www.amazon.in/UPPERCASE-Professional-Backpack-resistant-sustainable/dp/B0BXFDK5J2,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",4.3,78
https://www.amazon.in/-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,4.3,"6,506"
https://www.amazon.in/ksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,600"
https://www.amazon.in/kpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",249,4.1,"9,706"
https://www.amazon.in/R-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,174,3.7,"7,051"
https://www.amazon.in/r-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,"6,040"
https://www.amazon.in/ari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,227",4.5,"7,383"
https://www.amazon.in/rican-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,666
https://www.amazon.in/NE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3,"7,913"
https://www.amazon.in/Red-Lemon-Plus-Travelling-1908/dp/B082Y7TZ8Z,"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack","3,999",4.4,509
https://www.amazon.in/FUR-JADEN-Anti-Theft-Backpack-Professionals/dp/B0C28QQMFJ,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,"3,499",4.6,99
https://www.amazon.in/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",528,3,6
https://www.amazon.in/ZEBRONICS-Techshield-A3-Compartment-Backpacks/dp/B0C6QWBRSB,"ZEBRONICS Techshield A3, 23 Liters 2 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black)",846,5,6
https://www.amazon.in/bags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,672,4.1,"5,525"
https://www.amazon.in/E-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,3.7,"2,462"
https://www.amazon.in/rican-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4,"55,249"
https://www.amazon.in/f-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442"
https://www.amazon.in/NE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3,"7,913"
https://www.amazon.in/ber-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4,"5,611"
https://www.amazon.in/f-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,960"
https://www.amazon.in/-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,4.3,"6,506"
https://www.amazon.in/HOEXL-Expandable-Laptop-Backpack-Water-resistant/dp/B0C3J2RLHP,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments","2,699",5,33
https://www.amazon.in/UPPERCASE-Professional-Backpack-resistant-sustainable/dp/B0BXFDK5J2,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",4.3,78
https://www.amazon.in/ksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,600"
https://www.amazon.in/f-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442"
https://www.amazon.in/ice-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1,"5,854"
https://www.amazon.in/R-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,174,3.7,"7,051"
https://www.amazon.in/DHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1,"1,610"
https://www.amazon.in/r-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,"6,040"
https://www.amazon.in/ley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,699,4.1,"1,707"
https://www.amazon.in/ie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049",4,"8,320"
https://www.amazon.in/Red-Lemon-Plus-Travelling-1908/dp/B082Y7TZ8Z,"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack","3,999",4.4,509
https://www.amazon.in/Swiss-Military-Laptop-Backpack-Canvas/dp/B09T9NS7SB,Swiss Military Multi Utility Backpack with USB Charging Port - LBP89 and Combo Offers,"2,401",3.7,59
https://www.amazon.in/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",528,3,6
https://www.amazon.in/ZEBRONICS-Techshield-A3-Compartment-Backpacks/dp/B0C6QWBRSB,"ZEBRONICS Techshield A3, 23 Liters 2 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black)",846,5,6
https://www.amazon.in/bags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,672,4.1,"5,525"
https://www.amazon.in/rican-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4,"55,249"
https://www.amazon.in/f-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442"
https://www.amazon.in/ber-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4,"5,611"
https://www.amazon.in/E-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,3.7,"2,462"
https://www.amazon.in/f-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9,"16,960"
https://www.amazon.in/f-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442"
https://www.amazon.in/ice-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1,"5,854"
https://www.amazon.in/HOEXL-Expandable-Laptop-Backpack-Water-resistant/dp/B0C3J2RLHP,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments","2,699",5,33
https://www.amazon.in/UPPERCASE-Professional-Backpack-resistant-sustainable/dp/B0BXFDK5J2,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",4.3,78
https://www.amazon.in/-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,4.3,"6,506"
https://www.amazon.in/ksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3,"5,600"
https://www.amazon.in/kpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",249,4.1,"9,706"
https://www.amazon.in/R-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,174,3.7,"7,051"
https://www.amazon.in/r-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,"6,040"
https://www.amazon.in/ari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,227",4.5,"7,383"
https://www.amazon.in/rican-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,666
https://www.amazon.in/NE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3,"7,913"
https://www.amazon.in/Red-Lemon-Plus-Travelling-1908/dp/B082Y7TZ8Z,"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack","3,999",4.4,509
https://www.amazon.in/Swiss-Military-Laptop-Backpack-Canvas/dp/B09T9NS7SB,Swiss Military Multi Utility Backpack with USB Charging Port - LBP89 and Combo Offers,"2,401",3.7,59
https://www.amazon.in/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",528,3,6
https://www.amazon.in/ZEBRONICS-Techshield-A3-Compartment-Backpacks/dp/B0C6QWBRSB,"ZEBRONICS Techshield A3, 23 Liters 2 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black)",846,5,6
https://www.amazon.in/bags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,672,4.1,"5,525"
https://www.amazon.in/rican-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4,"55,249"
https://www.amazon.in/f-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"3,442"
https://www.amazon.in/ber-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4,"5,611"
https://www.amazon.in/E-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,3.7,"2,462"
